scaffold	begin	end	strand	desc	old_locus_tag	new_locus_tag
NC_011916.1	1	182	-	ncRNA	CCNA_R0094	CCNA_R0094
NC_011916.1	1	182	-	exon	CCNA_R0094	CCNA_R0094
NC_011916.1	202	1107	+	gene	CCNA_00001	CCNA_00001
NC_011916.1	1104	1703	+	gene	CCNA_00002	CCNA_00002
NC_011916.1	1700	2557	+	gene	CCNA_00003	CCNA_00003
NC_011916.1	2559	3158	+	gene	CCNA_00004	CCNA_00004
NC_011916.1	3190	3903	+	gene	CCNA_00005	CCNA_00005
NC_011916.1	4022	4810	+	gene	CCNA_00006	CCNA_00006
NC_011916.1	4292	4950	-	gene	CCNA_R0095	CCNA_R0095
NC_011916.1	4292	4950	-	ncRNA	CCNA_R0095	CCNA_R0095
NC_011916.1	4292	4950	-	exon	CCNA_R0095	CCNA_R0095
NC_011916.1	4960	5235	+	gene	CCNA_00007	CCNA_00007
NC_011916.1	5636	7108	+	gene	CCNA_00008	CCNA_00008
NC_011916.1	7170	7790	-	gene	CCNA_00009	CCNA_00009
NC_011916.1	8165	10060	+	gene	CCNA_00010	CCNA_00010
NC_011916.1	10223	11380	+	gene	CCNA_00011	CCNA_00011
NC_011916.1	11467	14178	+	gene	CCNA_00012	CCNA_00012
NC_011916.1	13417	13499	+	gene	CCNA_R0096	CCNA_R0096
NC_011916.1	13417	13499	+	ncRNA	CCNA_R0096	CCNA_R0096
NC_011916.1	13417	13499	+	exon	CCNA_R0096	CCNA_R0096
NC_011916.1	14199	17021	+	gene	CCNA_00013	CCNA_00013
NC_011916.1	17018	17494	-	gene	CCNA_00014	CCNA_00014
NC_011916.1	17491	18042	-	gene	CCNA_00015	CCNA_00015
NC_011916.1	18043	18495	-	gene	CCNA_00016	CCNA_00016
NC_011916.1	18492	18731	-	gene	CCNA_00017	CCNA_00017
NC_011916.1	18735	19784	-	gene	CCNA_00018	CCNA_00018
NC_011916.1	19815	20447	+	gene	CCNA_00019	CCNA_00019
NC_011916.1	20444	20668	-	gene	CCNA_00020	CCNA_00020
NC_011916.1	20665	20778	-	gene	CCNA_03911	CCNA_03911
NC_011916.1	20840	23032	-	gene	CCNA_00021	CCNA_00021
NC_011916.1	23029	23559	-	gene	CCNA_00022	CCNA_00022
NC_011916.1	23742	24074	+	gene	CCNA_00023	CCNA_00023
NC_011916.1	24091	24981	+	gene	CCNA_00024	CCNA_00024
NC_011916.1	24991	26643	-	gene	CCNA_00025	CCNA_00025
NC_011916.1	26701	29403	-	gene	CCNA_00026	CCNA_00026
NC_011916.1	29502	30191	-	gene	CCNA_00027	CCNA_00027
NC_011916.1	30271	30354	-	gene	CCNA_R0097	CCNA_R0097
NC_011916.1	30271	30354	-	ncRNA	CCNA_R0097	CCNA_R0097
NC_011916.1	30271	30354	-	exon	CCNA_R0097	CCNA_R0097
NC_011916.1	30337	32658	-	gene	CCNA_00028	CCNA_00028
NC_011916.1	32914	33546	+	gene	CCNA_00029	CCNA_00029
NC_011916.1	33595	34329	+	gene	CCNA_00030	CCNA_00030
NC_011916.1	34312	34698	-	gene	CCNA_00031	CCNA_00031
NC_011916.1	34699	34941	-	gene	CCNA_00032	CCNA_00032
NC_011916.1	35047	35667	-	gene	CCNA_03912	CCNA_03912
NC_011916.1	35775	35860	-	sequence_feature	CCNA_00033	CCNA_00033
NC_011916.1	35824	37962	-	gene	CCNA_00033	CCNA_00033
NC_011916.1	38211	38480	-	gene	CCNA_00034	CCNA_00034
NC_011916.1	38495	39427	-	gene	CCNA_00035	CCNA_00035
NC_011916.1	39430	39879	-	gene	CCNA_00036	CCNA_00036
NC_011916.1	39980	40768	-	gene	CCNA_00037	CCNA_00037
NC_011916.1	40828	41403	-	gene	CCNA_00038	CCNA_00038
NC_011916.1	41403	41921	-	gene	CCNA_00039	CCNA_00039
NC_011916.1	41960	42511	-	gene	CCNA_00040	CCNA_00040
NC_011916.1	42585	45614	-	gene	CCNA_00041	CCNA_00041
NC_011916.1	45805	46002	-	gene	CCNA_R0098	CCNA_R0098
NC_011916.1	45805	46002	-	ncRNA	CCNA_R0098	CCNA_R0098
NC_011916.1	45805	46002	-	exon	CCNA_R0098	CCNA_R0098
NC_011916.1	45893	46543	-	gene	CCNA_00042	CCNA_00042
NC_011916.1	46622	48268	-	gene	CCNA_00043	CCNA_00043
NC_011916.1	48271	48846	-	gene	CCNA_00044	CCNA_00044
NC_011916.1	49105	49638	+	gene	CCNA_00045	CCNA_00045
NC_011916.1	49645	50031	-	gene	CCNA_00046	CCNA_00046
NC_011916.1	50132	50812	-	gene	CCNA_00047	CCNA_00047
NC_011916.1	50902	52125	-	gene	CCNA_00048	CCNA_00048
NC_011916.1	52245	52679	-	gene	CCNA_00049	CCNA_00049
NC_011916.1	52707	54299	-	gene	CCNA_00050	CCNA_00050
NC_011916.1	54296	55222	-	gene	CCNA_00051	CCNA_00051
NC_011916.1	55231	55686	-	gene	CCNA_00052	CCNA_00052
NC_011916.1	55724	56668	-	gene	CCNA_00053	CCNA_00053
NC_011916.1	56665	58011	-	gene	CCNA_00054	CCNA_00054
NC_011916.1	58201	58608	-	gene	CCNA_00055	CCNA_00055
NC_011916.1	58654	59106	-	gene	CCNA_00056	CCNA_00056
NC_011916.1	59115	59750	-	gene	CCNA_00057	CCNA_00057
NC_011916.1	59754	60386	-	gene	CCNA_00058	CCNA_00058
NC_011916.1	60534	61121	-	gene	CCNA_00059	CCNA_00059
NC_011916.1	61191	61763	-	gene	CCNA_00060	CCNA_00060
NC_011916.1	61885	63153	+	gene	CCNA_00061	CCNA_00061
NC_011916.1	63327	64361	-	gene	CCNA_00062	CCNA_00062
NC_011916.1	64440	64487	-	gene	CCNA_03913	CCNA_03913
NC_011916.1	64529	66091	-	gene	CCNA_00063	CCNA_00063
NC_011916.1	66331	68127	-	gene	CCNA_00064	CCNA_00064
NC_011916.1	68179	68196	-	gene	CCNA_03914	CCNA_03914
NC_011916.1	68289	69062	-	gene	CCNA_00065	CCNA_00065
NC_011916.1	69120	69488	-	gene	CCNA_00066	CCNA_00066
NC_011916.1	69493	69774	-	gene	CCNA_00067	CCNA_00067
NC_011916.1	69794	70804	-	gene	CCNA_00068	CCNA_00068
NC_011916.1	70801	71904	-	gene	CCNA_00069	CCNA_00069
NC_011916.1	71977	72945	+	gene	CCNA_00070	CCNA_00070
NC_011916.1	72950	73636	+	gene	CCNA_00071	CCNA_00071
NC_011916.1	73680	74576	+	gene	CCNA_00072	CCNA_00072
NC_011916.1	74573	76108	+	gene	CCNA_00073	CCNA_00073
NC_011916.1	76150	76225	+	gene	CCNA_R0001	CCNA_R0001
NC_011916.1	76150	76225	+	tRNA	CCNA_R0001	CCNA_R0001
NC_011916.1	76150	76225	+	exon	CCNA_R0001	CCNA_R0001
NC_011916.1	76477	78678	-	gene	CCNA_00074	CCNA_00074
NC_011916.1	78703	79908	-	gene	CCNA_00075	CCNA_00075
NC_011916.1	79975	80358	-	gene	CCNA_00076	CCNA_00076
NC_011916.1	80355	81530	-	gene	CCNA_00077	CCNA_00077
NC_011916.1	81533	83326	-	gene	CCNA_00078	CCNA_00078
NC_011916.1	83414	83893	-	gene	CCNA_00079	CCNA_00079
NC_011916.1	84087	84728	+	gene	CCNA_00080	CCNA_00080
NC_011916.1	84763	84972	-	gene	CCNA_00081	CCNA_00081
NC_011916.1	85222	86880	-	gene	CCNA_00082	CCNA_00082
NC_011916.1	87043	88683	-	gene	CCNA_00083	CCNA_00083
NC_011916.1	89053	90642	+	gene	CCNA_00084	CCNA_00084
NC_011916.1	90655	91413	+	gene	CCNA_00085	CCNA_00085
NC_011916.1	91467	96290	-	gene	CCNA_00086	CCNA_00086
NC_011916.1	96456	96584	-	gene	CCNA_R0002	CCNA_R0002
NC_011916.1	96456	96584	-	ncRNA	CCNA_R0002	CCNA_R0002
NC_011916.1	96456	96584	-	exon	CCNA_R0002	CCNA_R0002
NC_011916.1	96628	97737	-	gene	CCNA_00087	CCNA_00087
NC_011916.1	97841	99385	+	gene	CCNA_00088	CCNA_00088
NC_011916.1	99466	101895	-	gene	CCNA_00089	CCNA_00089
NC_011916.1	101960	102943	-	gene	CCNA_00090	CCNA_00090
NC_011916.1	103149	104042	-	gene	CCNA_00091	CCNA_00091
NC_011916.1	104039	104929	-	gene	CCNA_00092	CCNA_00092
NC_011916.1	105028	105237	-	gene	CCNA_00093	CCNA_00093
NC_011916.1	105310	106230	-	gene	CCNA_00094	CCNA_00094
NC_011916.1	106334	107332	-	gene	CCNA_00095	CCNA_00095
NC_011916.1	107402	108280	+	gene	CCNA_00096	CCNA_00096
NC_011916.1	108334	108792	+	gene	CCNA_00097	CCNA_00097
NC_011916.1	108427	108932	-	mobile_genetic_element	NA	NA
NC_011916.1	108943	109233	-	gene	CCNA_00098	CCNA_00098
NC_011916.1	109239	110969	-	gene	CCNA_00099	CCNA_00099
NC_011916.1	110979	111638	-	gene	CCNA_00100	CCNA_00100
NC_011916.1	111745	113034	-	gene	CCNA_00101	CCNA_00101
NC_011916.1	113151	113375	+	gene	CCNA_00102	CCNA_00102
NC_011916.1	113463	115160	+	gene	CCNA_00103	CCNA_00103
NC_011916.1	115289	115990	-	gene	CCNA_00104	CCNA_00104
NC_011916.1	116088	116786	+	gene	CCNA_00105	CCNA_00105
NC_011916.1	116834	118099	+	gene	CCNA_00106	CCNA_00106
NC_011916.1	118260	118457	-	gene	CCNA_00107	CCNA_00107
NC_011916.1	118467	119144	-	gene	CCNA_00108	CCNA_00108
NC_011916.1	119160	120059	-	gene	CCNA_00109	CCNA_00109
NC_011916.1	120169	120675	-	gene	CCNA_00110	CCNA_00110
NC_011916.1	120752	121498	+	gene	CCNA_00111	CCNA_00111
NC_011916.1	121503	121892	+	gene	CCNA_00112	CCNA_00112
NC_011916.1	121972	122544	+	gene	CCNA_00113	CCNA_00113
NC_011916.1	122547	122852	+	gene	CCNA_00114	CCNA_00114
NC_011916.1	122939	126268	+	gene	CCNA_00115	CCNA_00115
NC_011916.1	124027	124282	-	gene	CCNA_R0099	CCNA_R0099
NC_011916.1	124027	124282	-	ncRNA	CCNA_R0099	CCNA_R0099
NC_011916.1	124027	124282	-	exon	CCNA_R0099	CCNA_R0099
NC_011916.1	126407	127753	-	gene	CCNA_00116	CCNA_00116
NC_011916.1	127915	129735	+	gene	CCNA_00117	CCNA_00117
NC_011916.1	129746	131989	+	gene	CCNA_00118	CCNA_00118
NC_011916.1	131977	132438	+	gene	CCNA_00119	CCNA_00119
NC_011916.1	132435	132953	+	gene	CCNA_00120	CCNA_00120
NC_011916.1	132950	133408	-	gene	CCNA_00121	CCNA_00121
NC_011916.1	133417	133827	-	gene	CCNA_00122	CCNA_00122
NC_011916.1	133900	134682	+	gene	CCNA_00123	CCNA_00123
NC_011916.1	134826	135413	-	gene	CCNA_00124	CCNA_00124
NC_011916.1	135509	136177	-	gene	CCNA_00125	CCNA_00125
NC_011916.1	136184	136591	-	gene	CCNA_00126	CCNA_00126
NC_011916.1	136811	137011	+	gene	CCNA_00127	CCNA_00127
NC_011916.1	137246	138472	-	gene	CCNA_00128	CCNA_00128
NC_011916.1	138555	138917	-	gene	CCNA_00129	CCNA_00129
NC_011916.1	138921	140918	-	gene	CCNA_00130	CCNA_00130
NC_011916.1	141119	141541	+	gene	CCNA_00131	CCNA_00131
NC_011916.1	141633	142433	+	gene	CCNA_00132	CCNA_00132
NC_011916.1	142680	143894	+	gene	CCNA_00133	CCNA_00133
NC_011916.1	143989	144417	+	gene	CCNA_00134	CCNA_00134
NC_011916.1	144443	145276	+	gene	CCNA_00135	CCNA_00135
NC_011916.1	145273	146952	-	gene	CCNA_00136	CCNA_00136
NC_011916.1	146986	148530	-	gene	CCNA_00137	CCNA_00137
NC_011916.1	148752	150944	+	gene	CCNA_00138	CCNA_00138
NC_011916.1	150993	152600	-	gene	CCNA_00139	CCNA_00139
NC_011916.1	152709	153662	-	gene	CCNA_00140	CCNA_00140
NC_011916.1	153718	154533	-	gene	CCNA_00141	CCNA_00141
NC_011916.1	154535	154912	-	gene	CCNA_00142	CCNA_00142
NC_011916.1	154912	155784	-	gene	CCNA_00143	CCNA_00143
NC_011916.1	155819	156973	-	gene	CCNA_00144	CCNA_00144
NC_011916.1	156966	157568	-	gene	CCNA_00145	CCNA_00145
NC_011916.1	157593	158186	+	gene	CCNA_00146	CCNA_00146
NC_011916.1	158354	158470	+	gene	CCNA_00147	CCNA_00147
NC_011916.1	158546	159079	+	gene	CCNA_00148	CCNA_00148
NC_011916.1	159096	159323	+	gene	CCNA_00149	CCNA_00149
NC_011916.1	159320	160297	-	gene	CCNA_00150	CCNA_00150
NC_011916.1	160464	161180	-	gene	CCNA_00151	CCNA_00151
NC_011916.1	161320	162396	+	gene	CCNA_00152	CCNA_00152
NC_011916.1	162409	163035	+	gene	CCNA_00153	CCNA_00153
NC_011916.1	162975	163235	-	gene	CCNA_00154	CCNA_00154
NC_011916.1	163413	164531	+	gene	CCNA_00155	CCNA_00155
NC_011916.1	164664	164951	+	gene	CCNA_00156	CCNA_00156
NC_011916.1	165022	165393	+	gene	CCNA_00157	CCNA_00157
NC_011916.1	165492	165575	+	gene	CCNA_R0100	CCNA_R0100
NC_011916.1	165492	165575	+	ncRNA	CCNA_R0100	CCNA_R0100
NC_011916.1	165492	165575	+	exon	CCNA_R0100	CCNA_R0100
NC_011916.1	165621	166784	+	gene	CCNA_00158	CCNA_00158
NC_011916.1	166781	169246	+	gene	CCNA_00159	CCNA_00159
NC_011916.1	169387	170526	+	gene	CCNA_00160	CCNA_00160
NC_011916.1	170951	171577	+	gene	CCNA_00161	CCNA_00161
NC_011916.1	171649	172917	+	gene	CCNA_00162	CCNA_00162
NC_011916.1	172964	175183	+	gene	CCNA_00163	CCNA_00163
NC_011916.1	175173	177098	+	gene	CCNA_00164	CCNA_00164
NC_011916.1	175179	175213	+	sequence_feature	CCNA_00164	CCNA_00164
NC_011916.1	177092	177745	-	gene	CCNA_00165	CCNA_00165
NC_011916.1	177944	178090	+	gene	CCNA_03915	CCNA_03915
NC_011916.1	178252	179070	-	gene	CCNA_00166	CCNA_00166
NC_011916.1	179311	180120	+	gene	CCNA_00167	CCNA_00167
NC_011916.1	180205	180801	+	gene	CCNA_00168	CCNA_00168
NC_011916.1	181379	182917	+	gene	CCNA_00169	CCNA_00169
NC_011916.1	182997	185663	+	gene	CCNA_00170	CCNA_00170
NC_011916.1	185853	186290	+	gene	CCNA_00171	CCNA_00171
NC_011916.1	186287	188350	+	gene	CCNA_00172	CCNA_00172
NC_011916.1	188347	189822	+	gene	CCNA_00173	CCNA_00173
NC_011916.1	189809	191020	+	gene	CCNA_00174	CCNA_00174
NC_011916.1	191032	191484	+	gene	CCNA_00175	CCNA_00175
NC_011916.1	191399	191956	+	gene	CCNA_00176	CCNA_00176
NC_011916.1	191925	192308	+	gene	CCNA_00177	CCNA_00177
NC_011916.1	192305	192895	+	gene	CCNA_00178	CCNA_00178
NC_011916.1	192892	193866	+	gene	CCNA_00179	CCNA_00179
NC_011916.1	193848	194954	+	gene	CCNA_00180	CCNA_00180
NC_011916.1	194951	195427	+	gene	CCNA_00181	CCNA_00181
NC_011916.1	195424	196140	+	gene	CCNA_00182	CCNA_00182
NC_011916.1	196250	197011	-	gene	CCNA_00183	CCNA_00183
