scaffold	begin	end	strand	desc	old_locus_tag	new_locus_tag
NC_015684.1	101	1528	+	gene	OCA5_c00010	OCA5_RS00005
NC_015684.1	1700	2818	+	gene	OCA5_c00020	OCA5_RS00010
NC_015684.1	2885	3256	+	gene	OCA5_c00030	OCA5_RS00015
NC_015684.1	3334	4482	+	gene	OCA5_c00040	OCA5_RS00020
NC_015684.1	4826	7264	+	gene	OCA5_c00050	OCA5_RS00025
NC_015684.1	7467	8384	+	gene	OCA5_c00060	OCA5_RS00030
NC_015684.1	8424	9794	+	gene	OCA5_c00070	OCA5_RS00035
NC_015684.1	9819	10148	-	gene	OCA5_c00080	OCA5_RS00040
NC_015684.1	10299	11300	-	gene	OCA5_c00090	OCA5_RS00045
NC_015684.1	11471	13030	+	gene	OCA5_c00100	OCA5_RS00050
NC_015684.1	13079	14116	+	gene	OCA5_c00110	OCA5_RS00055
NC_015684.1	14272	14835	+	gene	OCA5_c00120	OCA5_RS00060
NC_015684.1	14996	15676	+	gene	OCA5_c00130	OCA5_RS00065
NC_015684.1	15673	16170	+	gene	OCA5_c00140	OCA5_RS00070
NC_015684.1	16198	16647	+	gene	OCA5_c00150	OCA5_RS00075
NC_015684.1	16774	18195	+	gene	OCA5_c00160	OCA5_RS00080
NC_015684.1	18188	19246	+	gene	OCA5_c00170	OCA5_RS00085
NC_015684.1	19274	19777	+	gene	OCA5_c00180	OCA5_RS00090
NC_015684.1	19778	20881	+	gene	OCA5_c00190	OCA5_RS00095
NC_015684.1	20878	22482	+	gene	OCA5_c00200	OCA5_RS00100
NC_015684.1	22741	23151	+	gene	OCA5_c00210	OCA5_RS00105
NC_015684.1	23263	23985	+	gene	OCA5_c00220	OCA5_RS00110
NC_015684.1	24004	25080	-	gene	OCA5_c00230	OCA5_RS00115
NC_015684.1	25480	26262	+	gene	OCA5_c00240	OCA5_RS00120
NC_015684.1	26266	27891	+	gene	OCA5_c00250	OCA5_RS00125
NC_015684.1	27909	28580	+	gene	OCA5_c00260	OCA5_RS00130
NC_015684.1	28622	31222	+	gene	OCA5_c00270	OCA5_RS00135
NC_015684.1	31373	31798	+	gene	OCA5_c00280	OCA5_RS00140
NC_015684.1	31795	32874	+	gene	OCA5_c00290	OCA5_RS00145
NC_015684.1	32887	33156	+	gene	OCA5_c00300	OCA5_RS00150
NC_015684.1	33446	35590	+	gene	OCA5_c00310	OCA5_RS00155
NC_015684.1	35814	36470	+	gene	OCA5_c00320	OCA5_RS00160
NC_015684.1	36542	37450	-	gene	OCA5_c00330	OCA5_RS00165
NC_015684.1	37560	39053	+	gene	OCA5_c00340	OCA5_RS00170
NC_015684.1	39164	39985	-	gene	OCA5_c00350	OCA5_RS00175
NC_015684.1	40138	41361	-	gene	OCA5_c00360	OCA5_RS00180
NC_015684.1	41454	41984	-	gene	OCA5_c00370	OCA5_RS00185
NC_015684.1	42325	42708	+	gene	OCA5_c00380	OCA5_RS00190
NC_015684.1	42812	43336	-	gene	OCA5_c00390	OCA5_RS00195
NC_015684.1	43598	44599	+	gene	OCA5_c00400	OCA5_RS00200
NC_015684.1	44621	45421	-	gene	OCA5_c00410	OCA5_RS00205
NC_015684.1	45434	46318	-	gene	OCA5_c00420	OCA5_RS00210
NC_015684.1	46395	47159	+	gene	OCA5_c00430	OCA5_RS00215
NC_015684.1	47156	48730	+	gene	OCA5_c00440	OCA5_RS00220
NC_015684.1	48790	50214	+	gene	OCA5_c00450	OCA5_RS00225
NC_015684.1	50211	50669	+	gene	OCA5_c00460	OCA5_RS00230
NC_015684.1	50799	53303	+	gene	OCA5_c00470	OCA5_RS00235
NC_015684.1	53300	54829	+	gene	OCA5_c00480	OCA5_RS00240
NC_015684.1	54931	55260	+	gene	OCA5_c00490	OCA5_RS00245
NC_015684.1	55396	56118	+	gene	OCA5_c00500	OCA5_RS00250
NC_015684.1	56179	59352	+	gene	OCA5_c00510	OCA5_RS00255
NC_015684.1	59349	62834	+	gene	OCA5_c00520	OCA5_RS00260
NC_015684.1	62989	63309	+	gene	OCA5_c00530	OCA5_RS00265
NC_015684.1	63556	64884	-	gene	OCA5_c00540	OCA5_RS00270
NC_015684.1	64881	65819	-	gene	OCA5_c00550	OCA5_RS00275
NC_015684.1	66027	66863	-	gene	OCA5_c00560	OCA5_RS00280
NC_015684.1	66860	68077	-	gene	OCA5_c00570	OCA5_RS00285
NC_015684.1	68214	68918	-	gene	OCA5_c00580	OCA5_RS00290
NC_015684.1	69042	69413	-	gene	OCA5_c00590	OCA5_RS00295
NC_015684.1	69504	69824	-	gene	OCA5_c00600	OCA5_RS00300
NC_015684.1	69984	70964	-	gene	OCA5_c00610	OCA5_RS00305
NC_015684.1	71400	73100	-	gene	OCA5_c00620	OCA5_RS00310
NC_015684.1	73674	74303	-	gene	OCA5_c00630	OCA5_RS00320
NC_015684.1	74300	74935	-	gene	OCA5_c00640	OCA5_RS00325
NC_015684.1	74919	75155	-	gene	OCA5_c00650	OCA5_RS00330
